codigo,descricao
00001,IGNORADO - CONVERSAO DO SIPEFAZ
00005,Exc - Empresa Privada
00006,Exc - Empresas Públicas / CLT
00008,Exc - Entidades em Extinção / L.80
00009,Exc - Estados / Municípios / Outros
00010,Exc - Estatais do Ministério dos Transportes e Comunicação
00011,Exc - Estatais do Ministério da Fazenda
00012,Exc - Estatais do Ministério de Minas e Energia
00016,Exc - Justiça do Distrito Federal e Territórios
00017,Exc - Justiça do Trabalho
00018,Exc - Justiça Eleitoral
00019,Exc - Justiça Federal
00020,Exc - Justiça Militar
00025,Exc - Região Centro Oeste
00026,Exc - Região Nordeste
00027,Exc - Região Norte
00028,Exc - Região Sudeste
00029,Exc - Região Sul
00030,Exc - República Federativa do Brasil
00031,Exc - Reserva de Contingência
00101,Superior Tribunal de Justiça
00102,Fundação Assefaz
00151,Ministério do Trabalho e Previdência Social
00153,Empresa Brasileira de Telecomunicacoes S.A.
00157,Governo do Estado do Maranhão
00159,Prefeitura Municipal de Três Pontas - MG
00160,Assembléia Legislativa - Minas Gerais
00161,Prefeitura Municipal de Blumenau - SC
00162,Tribunal Regional Eleitoral - BA
00163,Tribunal Regional Eleitoral - MT
00164,Tribunal Regional Eleitoral - GO
00165,Tribunal Regional Eleitoral - RS
00166,Tribunal Regional Eleitoral - SP
00167,Tribunal Regional Eleitoral - RO
00168,Tribunal Regional Eleitoral - SC
04000,Tribunal Superior do Trabalho
10000,Supremo Tribunal Federal
11000,Presidência da República
11104,Estado-Maior das Forças Armadas
11106,Secretaria do Planejamento e Coordenação Geral
11110,Hospital das Forças Armadas
12000,Ministério da Aeronáutica
12001,Justiça Federal - Seção Judiciária de Sergipe
12002,Justiça Federal - Amapá
13000,"Ministério da Agricultura, Pecuária e Abastecimento"
13208,Departamento Nacional de Obras e Saneamento
13209,Departamento Nacional de Obras Contra as Secas
14000,Ministério da Infraestrutura - MC
15000,Ministério da Educação
16000,Comando do Exército
16100,Fundação Osório
17000,Ministério da Economia
17100,CONSELHO NACIONAL DE JUSTICA
17201,Superintendência Nacional de Abastecimento
19000,Ministério do Interior
20000,Ministério da Justiça e Segurança Pública
20101,Presidência da República
20102,Vice Presidência da República
20103,Secretaria da Administração Federal da Presidência da República
20104,Secretaria Especial de Assuntos Estratégicos
20106,Consultoria-Geral da União
20108,Secretaria de Ciência e Tecnologia
20109,Secretaria de Desenvolvimento Regional
20111,Secretaria do Meio Ambiente
20112,Secretaria de Projetos Especiais
20113,"Ministério do Planejamento, Desenvolvimento e Gestão"
20114,Agência Brasileira de Inteligência
20115,Departamento de Polícia Federal
20116,Advocacia-Geral da União/Piauí
20117,Departamento de Imprensa Nacional
20125,Controladoria-Geral da União
20224,Agência Nacional do Cinema
20302,Nuclebrás Equipamentos Pesados
20304,Indústrias Nucleares do Brasil
20404,Biblioteca Nacional
20410,Fundação Nacional Pró-Leitura
20411,Instituto Brasileiro do Patrimônio Cultural
20415,Empresa Brasil de Comunicação
20502,Financiadora de Estudos e Projetos
20605,Companhia de Desenvolvimento de Barcarena
20924,Fundo Nacional de Desenvolvimento
21000,Comando da Aeronáutica
21201,Caixa de Financiamento Imobiliário da Aeronáutica
21203,"Secretaria de Economia, Finanças e Administração da Aeronáutica"
21300,Agência Espacial Brasileira
22000,Ministério da Infraestrutura - MME
22107,Ministério da Infraestrutura - CNP
22108,Ministério da Infraestrutura - DNAE
22109,Ministério da Infraestrutura - DNPM
22200,Companhia Nacional de Abastecimento
22202,Empresa Brasileira de Pesquisa Agropecuária
22203,Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba
22207,Companhia de Colonização do Nordeste
23000,Ministério da Previdência Social
23203,Fundação Projeto Rondon
23804,Fundo de Previdência e Assistência Social
23902,Fundo de Custeio de Programas de Habitação Popular
24000,Ministério das Relações Exteriores
24100,TELEBRAS - TELECOM. BRASILEIRAS S.A.
24203,Fundação Nacional de Artes
24204,Instituto do Patrimônio Histórico e Artístico Nacional
24205,Fundação Biblioteca Nacional
24206,Fundação Nacional de Artes Cênicas
24207,Fundação do Cinema Brasileiro
24209,Centro Nacional de Tecnologia Eletrônica Avançada S.A.
25000,Ministério da Saúde
25201,Banco Central do Brasil
25202,CONS. DE CONTROLE DE ATIV. FINANCEIRAS
25207,Serviço Federal de Processamento de Dados
25211,Casa da Moeda do Brasil
25220,Caixa Econômica Federal
25281,Banco do Brasil S.A.
25282,Banco do Nordeste do Brasil
