ano,Nome
1974,Ernesto Geisel
1975,Ernesto Geisel
1976,Ernesto Geisel
1977,Ernesto Geisel
1978,Ernesto Geisel
1979,João Figueiredo
1980,João Figueiredo
1981,João Figueiredo
1982,João Figueiredo
1983,João Figueiredo
1984,João Figueiredo
1985,José Sarney
1986,José Sarney
1987,José Sarney
1988,José Sarney
1989,José Sarney
1990,Fernando Collor
1991,Fernando Collor
1992,Fernando Collor
1993,Itamar Franco
1994,Itamar Franco
1995,Fernando henrique Cardoso
1996,Fernando henrique Cardoso
1997,Fernando henrique Cardoso
1998,Fernando henrique Cardoso
1999,Fernando henrique Cardoso
2000,Fernando henrique Cardoso
2001,Fernando henrique Cardoso
2002,Fernando henrique Cardoso
2003,Lula
2004,Lula
2005,Lula
2006,Lula
2007,Lula
2008,Lula
2009,Lula
2010,Lula
2011,Dilma Rouseff
2012,Dilma Rouseff
2013,Dilma Rouseff
2014,Dilma Rouseff
2015,Dilma Rouseff
2016,Dilma Rouseff
2017,Michel Temer
2018,Michel Temer
2019,Jair Bolsonaro
2020,Jair Bolsonaro
2021,Jair Bolsonaro
2022,Jair Bolsonaro
